L,det_minus,det_plus,det_plus_approx
100,4.223535925426489,0.3672571813823336,0.3553413639960527
200,4.223553341077908,0.3672567848533324,0.35533672026851565
300,4.223562912373755,0.3672571562378682,0.35533582822815235
400,4.22356615244718,0.36725740897324,0.3553355560299628
500,4.223568376237997,0.36725758890385757,0.35533543003769524
600,4.223569975287316,0.36725772064413936,0.3553353615963256
700,4.2235711745250875,0.36725782051711264,0.35533532032787984
800,4.223577239819345,0.3672579625324534,0.3553351779671798
900,4.2235779910655875,0.36725802588671336,0.3553351596017488
1000,4.223578603700647,0.3672580777486926,0.3553351464650016
1100,4.223579112641691,0.36725812096044,0.35533513674525674
1200,4.2235795420484745,0.3672581575059218,0.35533512935257056
1300,4.223579909148485,0.36725818880942207,0.3553351235993073
1400,4.22358022654546,0.36725821591849683,0.3553351190342587
1500,4.223580503668542,0.3672582396202396,0.3553351153514035
1600,4.223580747709609,0.3672582605171122,0.3553351123372513
1700,4.223580964247683,0.3672582790778646,0.35533510983919186
1800,4.223581157676632,0.3672582956726031,0.3553351077457913
1900,4.223581331502384,0.3672583105972952,0.35533510597414436
2000,4.223581488558395,0.36725832409158876,0.3553351044615395
