L,saddle_2R1_0,saddle_1R2_w
100,20.89812878531076,20.886173866826358
200,21.144062200161862,21.132118783941635
300,21.19208048723503,21.180135989580982
400,21.20908850655672,21.197140834758393
500,21.216998089749822,21.20504726710427
600,21.221305348180035,21.209351644066636
700,21.223906090352752,21.211950301634396
800,21.225595584672785,21.213638243564148
900,21.226754647596852,21.214796089218858
1000,21.227584272985496,21.21562458825448
1100,21.228198206401075,21.216237744391947
1200,21.22866518269387,21.216704191391983
1300,21.229028792842314,21.217067251548812
1400,21.229317317244377,21.21735536275301
1500,21.229550081445353,21.217587818156105
1600,21.229740570942177,21.217778080483477
1700,21.229898427596957,21.217935775215548
1800,21.230030898275494,21.218067931895636
1900,21.230142815530403,21.218179781048306
2000,21.230238551391153,21.218275279639656
