beta,log_norm,w_crit,log_Z
0.5,0.20823858870064194,0.2650049878264063,0.34850681192703137
1.0,0.2556276073712591,0.3120093384266431,0.354087184674597
1.5,0.28456861083385115,0.34046650407188483,0.3627726442580948
2.0,0.304528228503037,0.359606809671701,0.37392375164030384
2.5,0.3191187754224,0.37394866845776803,0.386962928693978
3.0,0.33019047689409203,0.38495835530180084,0.401430214647084
3.5,0.33881662874354396,0.3936820947024052,0.41697970285561375
4.0,0.34567638956159086,0.40121959281336755,0.4333568178792947
4.5,0.3512242031513535,0.4077974015615799,0.45037478041367485
5.0,0.3557693937791654,0.4137820896649712,0.46789572397593127
5.5,0.3595404590054681,0.42035989841318366,0.48581681060966647
6.0,0.3627144268837804,0.4244252077910753,0.5040604825246999
6.5,0.3654295939475892,0.4265711384434674,0.522567567419533
7.0,0.36770372260968176,0.4244252077910753,0.5412930765940039
7.5,0.3697827103894079,0.430636447821359,0.5602013295354342
8.0,0.3715001463365629,0.42753082780621726,0.5792622040768773
8.5,0.3730526890416819,0.42908363781378817,0.5984539750194156
9.0,0.374369245502718,0.4310030165392878,0.61775783598793
9.5,0.37571165547425434,0.43255582654685876,0.6371595992418535
10.0,0.37676883601532585,0.43314894719167985,0.656646280365486
10.5,0.3778189563871911,0.43470175719925075,0.67620695785278
11.0,0.37874617574128333,0.43566144656200056,0.6958332293384242
11.5,0.379554967375338,0.4366211359247504,0.7155195120756892
12.0,0.3802520469738735,0.4375808252875002,0.7352576730822495
12.5,0.38082373955258264,0.4416461346653919,0.7550430811101396
13.0,0.3815972382644145,0.43913363529507116,0.7748730899976438
13.5,0.3823018927338959,0.442239255310213,0.794734497763405
14.0,0.3824915617249731,0.4503698740659964,0.8146344571045521
14.5,0.3832172162564502,0.4412795659474632,0.8345750592750512
15.0,0.38376208331779005,0.4416461346653919,0.8545390755505385
15.5,0.38426504010464446,0.4453448753253549,0.8745206690638746
16.0,0.3846583260769669,0.4503698740659964,0.8945450136194364
16.5,0.3846638711973669,0.4437920653177839,0.9145855383566155
17.0,0.38503321700616255,0.444385185962605,0.9346379702835448
17.5,0.3853333206388092,0.4447517546805338,0.954746061129313
18.0,0.3856618120511286,0.4453448753253549,0.9748121077727439
18.5,0.3859144944346309,0.4457114440432836,0.9949398623816512
19.0,0.3861453520157314,0.4463045646881047,1.0150753861107495
19.5,0.38635789508914087,0.4468976853329258,1.035214725683111
20.0,0.3865557861070936,0.4472642540508545,1.0553538099110258
