beta,Z,pf_minus,on_shell_term
0.1,0.3465866091421163,1.4143240210183177,6.508414481462937e-5
0.2,0.34662564135707186,1.414655069784527,0.0002600930854100321
0.5,0.34689785223623576,1.4169588425553301,0.0016150625708253252
1.0,0.34785602293157386,1.425001959005816,0.006317165529018605
2.0,0.3514953509769357,1.4547530426613242,0.023340805111057468
5.0,0.3718494783431937,1.6092976510743717,0.10394836390342932
10.0,0.4191719069052855,1.962056395312761,0.25482119761315036
20.0,0.526254325051076,2.933382037647928,0.5499017113707463
50.0,0.8624655434978268,9.723596426656446,1.4120900092828188
