beta,log_purity,w_crit,log_Z
0.5,0.3459396926037933,0.00376609458477781,0.3468978462915599
1.0,0.3442167366711503,0.01364967855385486,0.34785599937029515
1.5,0.34179726343143574,0.026804119031717092,0.34940766929981676
2.0,0.33905769429292754,0.04095618472814635,0.3514952590928663
2.5,0.3362583008767135,0.05487363990860106,0.3540536687588963
3.0,0.33354876650093446,0.06801641615826001,0.3570180645465289
3.5,0.33100311376051494,0.08020781568480498,0.36032864654233887
4.0,0.3286502809134336,0.09143203680020894,0.3639327970264283
4.5,0.3264944458193152,0.10174675783640642,0.36778551885101657
5.0,0.32452671558045904,0.11121260951824513,0.3718489821921933
5.5,0.3227318489099486,0.11997589619878468,0.3760916389976934
6.0,0.32109599156747554,0.12819970628183516,0.3804872685199537
6.5,0.3196017886235276,0.13589746591188762,0.38501411588377643
7.0,0.31823408610718723,0.14313821535288576,0.3896540433651021
7.5,0.3169784341805821,0.14997006877429978,0.39439193936749484
8.0,0.31582171746569343,0.1564354430965899,0.399215158878208
8.5,0.3147519061891009,0.16257023129702947,0.4041130810965683
9.0,0.31376532901059406,0.1684471970082145,0.4090768395117901
9.5,0.3128491943253068,0.17405393390222512,0.4140994331975417
10.0,0.3120021761417855,0.17944220848706607,0.41917463482619916
10.5,0.311196719678814,0.18456447420399244,0.4242950969903017
11.0,0.310454546605619,0.18953705594116113,0.42945687481039385
11.5,0.3097519811927594,0.1943107033769039,0.4346559371005241
12.0,0.3091111234813332,0.1989642073002767,0.43988843173427633
12.5,0.30849235701228794,0.2034249028849072,0.44515157432881797
13.0,0.30793205038736793,0.20778412495919013,0.4504418938091639
13.5,0.3073692546832113,0.21195000849459172,0.4557585849393894
14.0,0.30685457969153385,0.21602246012701817,0.46109784476644544
14.5,0.3063949768249129,0.2200094686758232,0.4664573034203114
15.0,0.30588283143560013,0.22380302927298903,0.4718389994466486
15.5,0.305555079564381,0.22763282827106146,0.4772402318188366
16.0,0.30514020067642256,0.2312708572588423,0.4826550959094698
16.5,0.3047809236353145,0.23483751930219898,0.4880879250008364
17.0,0.3044691972156126,0.23833566521116187,0.4935303674867063
17.5,0.3039809926538872,0.2416414259741488,0.4989905284807268
18.0,0.30378279803948294,0.24500776066495558,0.5044577574751099
18.5,0.30336276647422333,0.24818950190604874,0.5099452334140685
19.0,0.303319252620724,0.25143390139138955,0.5154387563041337
19.5,0.30301118810349625,0.2544947783228892,0.5209586073690509
20.0,0.3026768376023534,0.25750219875865893,0.5264586081743933
