beta,log_purity,log_Z
0.5,0.34645261807082134,0.3466345467959028
1.0,0.3461022246418707,0.3468164767120918
1.5,0.34555569234530886,0.3471166422008219
2.0,0.3448571813101732,0.347530733546408
2.5,0.3440519314556939,0.3480531963082091
3.0,0.34317998008345163,0.3486776027756264
3.5,0.3422735998614719,0.34939701539111423
4.0,0.34135717700963497,0.35020430483904297
4.5,0.3404482449008272,0.3510924035818256
5.0,0.33955885771489225,0.35205449093617047
5.5,0.33869690383641193,0.3530841158358477
6.0,0.3378672090915442,0.354175268344154
6.5,0.3370724035649139,0.3553224121509818
7.0,0.33631357661269207,0.35652048927992247
7.5,0.3355907597476442,0.3577649062634739
8.0,0.3349032766629925,0.35905150889220017
8.5,0.3342499937399423,0.3603765506960399
9.0,0.33362949739969117,0.36173665873283145
9.5,0.33304021831932273,0.3631287990432832
10.0,0.33248051738556494,0.36455024325538854
10.5,0.33194874425602755,0.3659985371946287
11.0,0.3314432764246141,0.36747147194291163
11.5,0.330962544475154,0.36896705750813374
12.0,0.3305050476139536,0.3704834990955809
12.5,0.3300693624060613,0.37201917586587163
13.0,0.329654146812495,0.3735726220086709
13.5,0.32925814102020373,0.37514250993361453
14.0,0.32888016612788,0.37672763537310433
14.5,0.32851912144061085,0.37832690419556947
15.0,0.3281739809084149,0.3799393207410615
15.5,0.3278437890763632,0.3815639775031955
16.0,0.3275276568094359,0.383200046000475
16.5,0.32722475696702197,0.38484676869454215
17.0,0.32693432014566864,0.38650345182987433
17.5,0.3266556305683704,0.38816945908295425
18.0,0.32638802216793944,0.3898442059236928
18.5,0.3261308748909315,0.39152715460230747
19.0,0.32588361123446086,0.39321780968628145
19.5,0.32564569302180985,0.3949157140828911
20.0,0.32541661840746194,0.3966204454869539
