weight,G_0,Sigma_0
0.0,0,0
0.02,0.012665323054380508,0.012665323054380508
0.04,0.015135204991839048,0.015135204991839048
0.06,0.01704434759944858,0.01704434759944858
0.08,0.018657080669488107,0.018657080669488107
0.1,0.02007860780185625,0.02007860780185625
0.12,0.02136356798536729,0.02136356798536729
0.14,0.02254465664854448,0.02254465664854448
0.16,0.02364327707748845,0.02364327707748845
0.18,0.02467434474039967,0.02467434474039967
0.2,0.025648745818717036,0.025648745818717036
0.22,0.026574714157733985,0.026574714157733985
0.24,0.027458656843319326,0.027458656843319326
0.26,0.028305676373923644,0.028305676373923644
0.28,0.02911991549649948,0.02911991549649948
0.3,0.029904793193086338,0.029904793193086338
0.32,0.03066317109047771,0.03066317109047771
0.34,0.03139747385027881,0.03139747385027881
0.36,0.03210977821955443,0.03210977821955443
0.38,0.032801880195258086,0.032801880195258086
0.4,0.03347534656601974,0.03347534656601974
0.42,0.03413155508720923,0.03413155508720923
0.44,0.03477172624674483,0.03477172624674483
0.46,0.035396948719114765,0.035396948719114765
0.48,0.036008200023485204,0.036008200023485204
0.5,0.036606363501334095,0.036606363501334095
0.52,0.037192242449242886,0.037192242449242886
0.54,0.03776657204483752,0.03776657204483752
0.56,0.038330029563587366,0.038330029563587366
0.58,0.03888324328511808,0.03888324328511808
0.6,0.03942680041948498,0.03942680041948498
0.62,0.03996125434009919,0.03996125434009919
0.64,0.040487131387371596,0.040487131387371596
0.66,0.041004937505009706,0.041004937505009706
0.68,0.04151516499152907,0.04151516499152907
0.7,0.042018299698928285,0.042018299698928285
0.72,0.04251482910025765,0.04251482910025765
0.74,0.043005251798956146,0.043005251798956146
0.76,0.04349008930283538,0.04349008930283538
0.78,0.04396990130274568,0.04396990130274568
0.8,0.04444530640878716,0.04444530640878716
0.82,0.04491701155780216,0.04491701155780216
0.84,0.04538585563686313,0.04538585563686313
0.86,0.04585287741813827,0.04585287741813827
0.88,0.0463194274016262,0.0463194274016262
0.9,0.04678736473751298,0.04678736473751298
0.92,0.04725943498689566,0.04725943498689566
0.94,0.047740084188186725,0.047740084188186725
0.96,0.04823754065166388,0.04823754065166388
0.98,0.04877091579527091,0.04877091579527091
1.0,0.04941808890871018,0.04941808890871018
